x_pos,race_local,race_display,group,series,prior_pct,post_pct,obs_pct,proc_q25_pct,proc_q75_pct,total_q25_pct,total_q75_pct,q25_pct,q75_pct
1,R17,'24-R17,Lille Bane,,,,,,,,,,
2,R18,'24-R18,Lille Bane,,,,,,,,,,
3,R19,'24-R19,Lille Bane,,,,,,,,,,
4,R20,'24-R20,Lille Bane,,,,,,,,,,
5,R21,'24-R21,Lille Bane,,,,,,,,,,
6,R22,'24-R22,Lille Bane,,,,,,,,,,
7,R23,'24-R23,Lille Bane,,,,,,,,,,
8,R24,'24-R24,Lille Bane,,,,,,,,,,
9,R25,'24-R25,Lille Bane,,,,,,,,,,
10,R26,'24-R26,Lille Bane,,,,,,,,,,
11,R27,'24-R27,Lille Bane,,,,,,,,,,
12,R28,'24-R28,Lille Bane,,,,,,,,,,
13,R29,'24-R29,Lille Bane,,,,,,,,,,
14,R30,'24-R30,Lille Bane,,,,,,,,,,
15,R31,'24-R31,Lille Bane,,,,,,,,,,
16,R32,'24-R32,Lille Bane,,,,,,,,,,
17,R17,'24-R17,Lille Bane,Lille bane 3,0.0,-0.976399091463731,-6.5439590169713675,-1.823044291018816,1.856896333619007,-4.717204196263602,4.950740746503812,-1.823044291018816,1.856896333619007
18,R18,'24-R18,Lille Bane,Lille bane 3,-0.9679062671915095,,,-2.6402546198568078,0.7331680132352414,-2.738705726202173,0.8351334652747511,-2.6402546198568078,0.7331680132352414
